"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-2 (Hz)"
20,57.220458984375
21.5960205965162,57.220458984375
23.3194052802576,57.220458984375
25.1803178365477,57.220458984375
27.1897331312454,57.220458984375
29.3595018358078,57.220458984375
31.702420317478,57.220458984375
34.2323061067835,57.220458984375
36.9640793874172,57.220458984375
39.9138509890961,57.220458984375
43.09901740234,57.220458984375
46.5383633755273,57.220458984375
50.2521726993022,57.220458984375
54.262347831691,57.220458984375
58.5925390694263,57.220458984375
63.2682840272756,57.220458984375
68.3171582479641,76.2939453125
73.7689378309246,76.2939453125
79.6557750389886,76.2939453125
86.012387918673,95.367431640625
92.8762650523603,95.367431640625
100.287886649914,95.367431640625
108.290963283631,114.44091796875
116.932693674494,114.44091796875
126.264043050025,133.514404296875
136.340043715387,133.514404296875
147.220119610371,152.587890625
158.968436766358,152.587890625
171.654281730112,171.661376953125
185.352470186185,190.73486328125
200.143788187801,190.73486328125
216.115468598426,209.808349609375
233.361705553869,228.8818359375
251.984209978975,247.955322265625
272.092809435141,267.02880859375
293.806095836263,286.102294921875
317.252124853098,324.249267578125
342.569171130802,343.32275390625
369.906543773614,362.396240234375
399.425466906055,400.543212890625
431.300030503814,438.690185546875
465.718217101922,457.763671875
502.883010435296,495.91064453125
543.013592549937,534.0576171875
586.346636444835,591.278076171875
633.137701868034,629.425048828125
683.66274249865,686.6455078125
738.219733403581,743.865966796875
797.130428366923,801.08642578125
860.742257456093,858.306884765625
929.430376015683,934.600830078125
1003.59987717313,1010.89477539062
1083.6881809046,1087.18872070313
1170.16761375084,1163.48266601562
1263.54819439697,1258.85009765625
1364.3806415444,1373.291015625
1473.25962181404,1468.65844726563
1590.82725683559,1583.09924316406
1717.77691020604,1716.61376953125
1854.85727665148,1850.12817382813
2002.87679750817,2002.71606445312
2162.70842856354,2155.30395507812
2335.29478837587,2326.96533203125
2521.65371743512,2517.7001953125
2722.88428095052,2727.50854492188
2940.17325066689,2937.31689453125
3174.80210393641,3166.19848632812
3428.15458132369,3433.2275390625
3701.72484731539,3700.25634765625
3997.12630226295,4005.43212890625
4316.10109752737,4310.60791015625
4660.53040994237,4653.9306640625
5032.44553619028,5035.400390625
5434.03987252057,5435.943359375
5867.68185046223,5874.6337890625
6335.92890481934,6332.39697265625
6841.54255632705,6847.3818359375
7387.50469791906,7381.439453125
7977.03518065602,7972.71728515625
8613.61080302909,8621.2158203125
9300.98581562955,9307.861328125
10043.214062112,10051.7275390625
10844.6728870297,10852.8134765625
11710.0889515387,11711.12109375
12644.5661092233,12645.7216796875
13653.6155064399,13656.6162109375
14743.1880846995,14743.8046875
15919.7096767741,15926.361328125
17190.1189035086,17185.2109375
18561.9080948367,18558.501953125
20043.1674763368,20046.234375
21642.6328819196,21648.40625
23369.7372740388,23365.021484375
25234.6663752657,25234.22265625
27248.4187393227,27256.01171875
29422.8706158456,29430.388671875
31770.8459914217,31776.427734375
34306.1922199744,34313.203125
37043.8616885306,37040.7109375
40000.0000000002,39997.1015625

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-2 (deg)"
20,-0.788719177246094
21.5960205965162,-0.668952941894531
